ID,Athlete Name,Country,Country_code,Gender,Discipline
1532872,ALEKSANYAN Artur,Armenia,ARM,Male,['Wrestling']
1532873,AMOYAN Malkhas,Armenia,ARM,Male,['Wrestling']
1532874,GALSTYAN Slavik,Armenia,ARM,Male,['Wrestling']
1532944,HARUTYUNYAN Arsen,Armenia,ARM,Male,['Wrestling']
1532945,TEVANYAN Vazgen,Armenia,ARM,Male,['Wrestling']
1532951,ARENAS Lorena,Colombia,COL,Female,['Athletics']
1533112,McKENZIE Ashley,Jamaica,JAM,Male,['Judo']
1533136,BASS BITTAYE Gina Mariam,Gambia,GAM,Female,['Athletics']
1533176,CAMARA Ebrahima,Gambia,GAM,Male,['Athletics']
1533188,RUEDA SANTOS Lizeth,Mexico,MEX,Female,['Triathlon']
1533189,TAPIA VIDAL Rosa Maria,Mexico,MEX,Female,['Triathlon']
1533190,GRAJALES Crisanto,Mexico,MEX,Male,['Triathlon']
1533208,MAAROUFOU Hachim,Comoros,COM,Male,['Athletics']
1533209,SAADI Maesha,Comoros,COM,Female,['Swimming']
1533230,DIOSDADO Nuria,Mexico,MEX,Female,['Artistic Swimming']
1533231,JIMENEZ Joana,Mexico,MEX,Female,['Artistic Swimming']
1533232,SOBRINO Jessica,Mexico,MEX,Female,['Artistic Swimming']
1533234,ALFEREZ Regina,Mexico,MEX,Female,['Artistic Swimming']
1533235,ARELLANO Fernanda,Mexico,MEX,Female,['Artistic Swimming']
1533237,TOSCANO Pamela,Mexico,MEX,Female,['Artistic Swimming']
1533239,GONZALEZ Itzamary,Mexico,MEX,Female,['Artistic Swimming']
1533240,RODRIGUEZ Samanta,Mexico,MEX,Female,['Artistic Swimming']
1533243,INZUNZA Glenda,Mexico,MEX,Female,['Artistic Swimming']
1533245,SEHEN Sajjad,Iraq,IRQ,Male,['Judo']
1533359,RUBAIAWI Ali Ammar Yusur,Iraq,IRQ,Male,['Weightlifting']
1533364,ISMAIL Mohamed,Djibouti,DJI,Male,['Athletics']
1533371,HASSAN Ibrahim,Djibouti,DJI,Male,['Athletics']
1533372,WAISS Abdi,Djibouti,DJI,Male,['Athletics']
1533374,HASSAN NOUR Samiyah,Djibouti,DJI,Female,['Athletics']
1533378,HOUSSEIN BARKAT Houmed,Djibouti,DJI,Male,['Swimming']
1535180,BARAT Andy,Comoros,COM,Male,['Canoe Slalom']
1535186,MARTINEZ RAMIREZ Miguel Angel,Mexico,MEX,Male,['Boxing']
1535187,VERDE ALVAREZ Marco Alonso,Mexico,MEX,Male,['Boxing']
1535191,GONZALEZ Alegna,Mexico,MEX,Female,['Athletics']
1535195,LOPEZ Jesus Tonatiu,Mexico,MEX,Male,['Athletics']
1535199,PORTILLO Erick,Mexico,MEX,Male,['Athletics']
1535201,MUNOZ Uziel,Mexico,MEX,Male,['Athletics']
1535202,del REAL Diego,Mexico,MEX,Male,['Athletics']
1535203,DOCTOR Jose Luis,Mexico,MEX,Male,['Athletics']
1535212,MORAN Paola,Mexico,MEX,Female,['Athletics']
1535214,GALVAN Laura,Mexico,MEX,Female,['Athletics']
1535216,CORTES Alma Delia,Mexico,MEX,Female,['Athletics']
1535217,CRISTIAN MOSCOTE Citlali,Mexico,MEX,Female,['Athletics']
1535222,PALMA OLIVARES Ever Jair,Mexico,MEX,Male,['Athletics']
1535225,OETLING RAMIREZ Elena,Mexico,MEX,Female,['Sailing']
1535226,AGUILAR CHAVEZ PEON Mariana,Mexico,MEX,Female,['Sailing']
1535252,LECHUGA ALANIS Kenia,Mexico,MEX,Female,['Rowing']
1535260,LOPEZ GARCIA Alexis,Mexico,MEX,Male,['Rowing']
1535267,CARBALLO NIETO Miguel,Mexico,MEX,Male,['Rowing']
1535310,BLANCO Luisa,Colombia,COL,Female,['Artistic Gymnastics']
1535343,WILLARS VALDEZ Randal,Mexico,MEX,Male,['Diving']
1535345,BERLIN REYES Kevin,Mexico,MEX,Male,['Diving']
1535346,OROZCO LOZA Alejandra,Mexico,MEX,Female,['Diving']
