ID,Coach Name,Country,Country_code,Discipline,Event
1533246,PEDRERO Ofelia,Mexico,MEX,Artistic Swimming,Team
1535775,RADHI SHENAISHIL,Iraq,IRQ,Football,Men
1536055,AFLAKIKHAMSEH Majid,IR Iran,IRI,Taekwondo,
1536059,YOUSEFY Mehrdad,IR Iran,IRI,Taekwondo,
1536060,MADDAH Minoo,IR Iran,IRI,Taekwondo,
1536328,LOFTUS Adriana,Mexico,MEX,Artistic Swimming,Team
1538313,FERRARA Fernando,Argentina,ARG,Hockey,
1538315,GULLA Alejandra,Argentina,ARG,Hockey,Women
1538317,CAPURRO Santiago,Argentina,ARG,Hockey,
1538745,RONCONI Mariano,Argentina,ARG,Hockey,
1538748,PAULON Ezequiel,Argentina,ARG,Hockey,
1538751,VILA Matias,Argentina,ARG,Hockey,
1539598,KHEIRKHAH HAJIRASOULIAN Mohammadre.,IR Iran,IRI,Artistic Gymnastics,
1540258,DAVIS DIAZ David,Mexico,MEX,Taekwondo,
1540259,MENDOZA MORA Abel,Mexico,MEX,Taekwondo,
1540260,VICTORIA ESPINOSA de los Alfonso,Mexico,MEX,Taekwondo,
1540522,MILANO Guillermo,Argentina,ARG,Handball,Men
1540638,GOMEZ CORA Santiago,Argentina,ARG,Rugby Sevens,Men
1540639,GRAVANO Leonardo,Argentina,ARG,Rugby Sevens,Men
1540840,FILIORIANU Ana Luiza,Romania,ROU,Rhythmic Gymnastics,
1542341,SMAILI Badr,Morocco,MAR,Taekwondo,
1542904,OCEGUERA ORNELAS Pavel,Mexico,MEX,Artistic Gymnastics,
1542908,VALENZUELA GOMEZ Maria,Mexico,MEX,Artistic Gymnastics,
1542913,MEZA PADILLA Jose,Mexico,MEX,Artistic Gymnastics,
1542973,AGUILAR ROJAS Blajaith,Mexico,MEX,Rhythmic Gymnastics,
1542976,FURALEV Vladislav,Mexico,MEX,Rhythmic Gymnastics,
1543567,UPTON Patrick Anthony Howard,India,IND,Hockey,
1543570,SCHOPMAN Johanna Dorothea Maria,India,IND,Hockey,
1543575,HALKETT Rhett Kennedy,India,IND,Hockey,
1543576,FULTON Craig Arthur,India,IND,Hockey,
1543577,FARRY Anthony James,India,IND,Hockey,
1544157,THORPE Karen,Great Britain,GBR,Artistic Swimming,Duet
1544158,TOMOMATSU Yumiko,Great Britain,GBR,Artistic Swimming,Duet
1544489,CURRAN Orlaith,Ireland,IRL,Rugby Sevens,Women
1545106,NASKAR Arup,India,IND,Hockey,
1545139,CHINNASAMY Ashok Kumar,India,IND,Hockey,
1545947,BUSNARI Alberto,Italy,ITA,Artistic Gymnastics,
1545949,COCCIARO Giuseppe,Italy,ITA,Artistic Gymnastics,
1545950,FORTUNA Marco,Italy,ITA,Artistic Gymnastics,
1545955,BERGAMELLI Monica Roberta,Italy,ITA,Artistic Gymnastics,
1546310,CHIRILCENCO Marc Michel,Algeria,ALG,Artistic Gymnastics,
1546312,HAMICI Saad Eddine,Algeria,ALG,Artistic Gymnastics,
1546698,HERRANZ MARTIN Miguel Angel,Spain,ESP,Taekwondo,
1546699,RAMAL MUNOZ Jesus,Spain,ESP,Taekwondo,
1546700,SEIJO GIEBELS Christian Jaime,Spain,ESP,Taekwondo,
1546701,TOLEDO AROCA Antonio,Spain,ESP,Taekwondo,
