Rank,country_code,Gold Medal,Silver Medal,Bronze Medal,Total
1,USA,40,44,42,126
2,CHN,40,27,24,91
3,JPN,20,12,13,45
4,AUS,18,19,16,53
5,FRA,16,26,22,64
6,NED,15,7,12,34
7,GBR,14,21,29,64
8,KOR,13,9,10,32
9,ITA,12,13,13,38
10,GER,11,13,8,32
11,NZL,10,7,3,20
12,CAN,9,7,11,27
13,UZB,8,2,3,13
14,HUN,6,7,6,19
15,ESP,5,4,9,18
16,SWE,4,4,3,11
17,KEN,4,2,5,11
18,NOR,4,1,3,8
19,IRL,4,0,3,7
20,BRA,3,7,10,20
21,IRI,3,6,3,12
22,UKR,3,5,4,12
23,ROU,3,4,2,9
24,GEO,3,3,1,7
25,SRB,3,1,1,5
26,BUL,3,0,3,6
27,CZE,3,0,2,5
28,DEN,2,2,5,9
29,AZE,2,2,3,7
30,CRO,2,2,3,7
31,CUB,2,1,6,9
32,BEL,2,1,5,8
33,BRN,2,1,1,4
34,SLO,2,1,0,3
35,TPE,2,0,5,7
36,AUT,2,0,3,5
37,HKG,2,0,2,4
38,PHI,2,0,2,4
39,ALG,2,0,1,3
40,INA,2,0,0,2
41,POL,1,4,5,10
42,ISR,1,4,1,6
43,KAZ,1,3,3,7
44,JAM,1,3,2,6
45,RSA,1,3,2,6
46,THA,1,3,2,6
47,AIN,1,3,1,5
48,ETH,1,3,0,4
49,SUI,1,2,5,8
50,ECU,1,2,2,5
51,POR,1,2,1,4
52,GRE,1,1,6,8
53,ARG,1,1,1,3
54,EGY,1,1,1,3
55,TUN,1,1,1,3
56,BOT,1,1,0,2
57,CHI,1,1,0,2
58,LCA,1,1,0,2
59,UGA,1,1,0,2
60,DOM,1,0,2,3
61,GUA,1,0,1,2
62,MAR,1,0,1,2
63,DMA,1,0,0,1
64,PAK,1,0,0,1
65,TUR,0,3,5,8
66,MEX,0,3,2,5
67,ARM,0,3,1,4
68,COL,0,3,1,4
69,KGZ,0,2,4,6
70,PRK,0,2,4,6
71,LTU,0,2,2,4
72,IND,0,1,5,6
73,MDA,0,1,3,4
74,KOS,0,1,1,2
75,CYP,0,1,0,1
76,FIJ,0,1,0,1
77,JOR,0,1,0,1
78,MGL,0,1,0,1
79,PAN,0,1,0,1
80,TJK,0,0,3,3
81,ALB,0,0,2,2
82,GRN,0,0,2,2
83,MAS,0,0,2,2
84,PUR,0,0,2,2
85,CIV,0,0,1,1
86,CPV,0,0,1,1
87,EOR,0,0,1,1
88,PER,0,0,1,1
89,QAT,0,0,1,1
90,SGP,0,0,1,1
91,SVK,0,0,1,1
92,ZAM,0,0,1,1
