Team_Name,discipline,Country,Country_code,Event
People's Republic of China,Archery,China,CHN,Men's Team
Colombia,Archery,Colombia,COL,Men's Team
France,Archery,France,FRA,Men's Team
Great Britain,Archery,Great Britain,GBR,Men's Team
India,Archery,India,IND,Men's Team
Italy,Archery,Italy,ITA,Men's Team
Japan,Archery,Japan,JPN,Men's Team
Kazakhstan,Archery,Kazakhstan,KAZ,Men's Team
Republic of Korea,Archery,Korea,KOR,Men's Team
Mexico,Archery,Mexico,MEX,Men's Team
Chinese Taipei,Archery,Chinese Taipei,TPE,Men's Team
Türkiye,Archery,Türkiye,TUR,Men's Team
People's Republic of China,Archery,China,CHN,Women's Team
France,Archery,France,FRA,Women's Team
Great Britain,Archery,Great Britain,GBR,Women's Team
Germany,Archery,Germany,GER,Women's Team
Indonesia,Archery,Indonesia,INA,Women's Team
India,Archery,India,IND,Women's Team
Republic of Korea,Archery,Korea,KOR,Women's Team
Malaysia,Archery,Malaysia,MAS,Women's Team
Mexico,Archery,Mexico,MEX,Women's Team
Netherlands,Archery,Netherlands,NED,Women's Team
Chinese Taipei,Archery,Chinese Taipei,TPE,Women's Team
United States of America,Archery,United States,USA,Women's Team
Australia,Archery,Australia,AUS,Mixed Team
Brazil,Archery,Brazil,BRA,Mixed Team
Canada,Archery,Canada,CAN,Mixed Team
People's Republic of China,Archery,China,CHN,Mixed Team
Colombia,Archery,Colombia,COL,Mixed Team
Czechia,Archery,Czechia,CZE,Mixed Team
Egypt,Archery,Egypt,EGY,Mixed Team
Spain,Archery,Spain,ESP,Mixed Team
France,Archery,France,FRA,Mixed Team
Great Britain,Archery,Great Britain,GBR,Mixed Team
Germany,Archery,Germany,GER,Mixed Team
Indonesia,Archery,Indonesia,INA,Mixed Team
India,Archery,India,IND,Mixed Team
Israel,Archery,Israel,ISR,Mixed Team
Italy,Archery,Italy,ITA,Mixed Team
Japan,Archery,Japan,JPN,Mixed Team
Republic of Korea,Archery,Korea,KOR,Mixed Team
Republic of Moldova,Archery,Republic of Moldova,MDA,Mixed Team
Mexico,Archery,Mexico,MEX,Mixed Team
Netherlands,Archery,Netherlands,NED,Mixed Team
Slovenia,Archery,Slovenia,SLO,Mixed Team
Chinese Taipei,Archery,Chinese Taipei,TPE,Mixed Team
Türkiye,Archery,Türkiye,TUR,Mixed Team
